DatasetName,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,MeanMeansOfNumericAtts,NumAttributes,Dimensionality,PercentageOfBinaryAtts,PercentageOfNominalAtts,NumNominalAtts,PercentageOfNumericAtts,NumNumericAtts,NumBinaryAtts,ClassCount,NegativePercentage,PositivePercentage,DefaultAccuracy,IncompleteInstanceCount,InstanceCount,NumMissingValues,PercentageOfMissingValues,MeanNominalAttDistinctValues,StdvNominalAttDistinctValues,MinNominalAttDistinctValues,MaxNominalAttDistinctValues,ClassEntropy,MeanMutualInformation,NoiseToSignalRatio,MeanAttributeEntropy,EquivalentNumberOfAtts,Algorithm(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abalone.arff,0.620071735,11.01515842,0.174618389,0.38270341,9,0.002154656,0,0.111111111,1,0.777777778,7,0,3,0.346420876,0.316734498,0.346420876,0,4177,0,0,3,0,3,3,1.583963615,0.196642727,7.042555503,1.581510048,8.055032787,trees.FT(1): trees.RandomForest(1): trees.LADTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abe_148.arff,-0.727777384,8.382742312,68.41311525,28.97860606,6,0.090909091,0,0,0,0.833333333,5,0,2,0.5,0.5,0.5,0,66,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,trees.RandomForest(1): trees.FT(2): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute-inflammations.arff,0.110633256,-1.544895427,1.819132485,38.72416667,7,0.058333333,0.714285714,0.714285714,5,0.142857143,1,5,2,0.583333333,0.416666667,0.583333333,0,120,0,0,2,0,2,2,0.979868757,0.199196539,3.694493094,0.935126777,4.91910533,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ada_agnostic.arff,7.149790619,257.7275267,14.34558909,34.15561523,49,0.010740903,0,0,0,0.979591837,48,0,2,0.751863218,0.248136782,0.751863218,0,4562,0,0,-1,-1,-1,-1,0.808311616,-1,-1,-1,-1,trees.BFTree(1): trees.RandomForest(1):trees.SimpleCart(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ada_prior.arff,2.83062738,24.60191246,19481.16675,32078.84787,15,0.003288032,0.066666667,0.533333333,8,0.4,6,1,2,0.751863218,0.248136782,0.751863218,88,4562,88,0.001285986,12,11.85628224,2,39,0.808311616,0.071421704,24.06283318,1.790030246,11.31745077,trees.BFTree(1): trees.SimpleCart(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult- 4000.arff,2.906601633,26.54760795,18468.48065,31456.75521,15,0.003766006,0.066666667,0.533333333,8,0.4,6,1,2,0.75445644,0.24554356,0.75445644,0,3983,0,0,12.375,12.45491871,2,41,0.804138124,0.073931075,-14.52611197,-1,10.8768623,trees.LADTree(1): trees.BFTree(2): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult- 80000.arff,3.042722861,28.98598117,19144.64041,31923.03579,15,0.001875,0.066666667,0.533333333,8,0.4,6,1,2,0.757,0.243,0.757,0,8000,0,0,12.375,12.45491871,2,41,0.799993682,0.070821224,-15.12006095,-1,11.29595955,trees.LADTree(1): trees.BFTree(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ailerons - 5840.arff,-0.847927221,599.7041668,7.613021238,-0.894593205,41,0.007075065,0,0,0,0.975609756,40,0,2,0.589473684,0.410526316,0.589473684,0,5795,0,0,-1,-1,-1,-1,0.976776007,-1,-1,-1,-1,trees.BFTree(1): trees.FT(1): trees.J48graft(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_aids.arff,2.092799613,3.876245947,3194304.487,2216203.82,5,0.1,0,0.4,2,0.4,2,0,2,0.5,0.5,0.5,0,50,0,0,5,0,5,5,1,-3.89E-16,-1,2.321928095,-1,trees.LADTree(1): trees.BFTree(2): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_apnea1.arff,0,-1.210442105,5.483000195,10,4,0.008421053,0,0.5,2,0.25,1,0,2,0.871578947,0.128421053,0.871578947,0,475,0,0,5,0,5,5,0.55309196,0.125235069,17.54055835,2.321928095,4.416430371,trees.J48(1): trees.J48graft(1): trees.LADTree(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_apnea2.arff,0,-1.210442105,5.483000195,10,4,0.008421053,0,0.5,2,0.25,1,0,2,0.865263158,0.134736842,0.865263158,0,475,0,0,5,0,5,5,0.570287337,0.150776473,14.39980375,2.321928095,3.782336366,trees.FT(1): trees.SimpleCart(1): trees.BFTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
